"annotation_id","annotator","comment","created_at","id","lead_time","rating","sentiment","updated_at","Вопрос решен","Нравится качество выполнения заявки","Нравится качество работы сотрудников","Нравится скорость отработки заявок","Понравилось выполнение заявки"
1,"1","спасибо","2025-05-07T20:03:34.514387Z",2945792,5.582,5,"Вопрос решен","2025-05-07T20:03:34.514387Z","","","","",""
2,"1","спасибо!","2025-05-07T20:04:21.301254Z",3234340,2.013,5,"Вопрос решен","2025-05-07T20:04:21.301254Z","","","","",""
3,"1","Отлично ","2025-05-07T20:04:37.280700Z",3380332,15.045,5,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}","2025-05-07T20:04:37.280700Z","","","","",""
4,"1","Благодарю за оперативное решение проблемы ! ","2025-05-07T20:04:59.903603Z",3381812,22.68,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-07T20:05:03.769616Z","","","","",""
5,"1","Спасибо ","2025-05-07T20:05:34.161326Z",3551430,3.127,5,"Вопрос решен","2025-05-07T20:05:34.161326Z","","","","",""
6,"1","пересчет, и скорость 
","2025-05-07T20:06:04.953561Z",3572768,29.817,1,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-07T20:06:04.953561Z","","","","",""
7,"1","Спасибо за обновление покраски стен","2025-05-07T20:06:20.809421Z",3584536,14.781,5,"Вопрос решен","2025-05-07T20:06:20.809421Z","","","","",""
8,"1","выполнили быстро","2025-05-07T20:06:38.606655Z",3596020,13.669,5,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}","2025-05-07T20:06:38.606655Z","","","","",""
9,"1","Спасибо! ","2025-05-07T20:06:42.474771Z",3617808,2.47,5,"Вопрос решен","2025-05-07T20:06:42.474771Z","","","","",""
10,"1","спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ","2025-05-07T20:06:58.013281Z",3627490,14.491,5,"Нравится качество работы сотрудников","2025-05-07T20:06:58.013281Z","","","","",""
11,"1","спасибо 
","2025-05-07T20:07:01.394053Z",3657819,2.362,5,"Вопрос решен","2025-05-07T20:07:01.394053Z","","","","",""
12,"1","Спасибо ","2025-05-07T20:07:04.424124Z",3691620,2.032,5,"Вопрос решен","2025-05-07T20:07:04.424124Z","","","","",""
13,"1","Решили мой вопрос. Спасибо! ","2025-05-07T20:07:15.169959Z",3695420,9.875,5,"Вопрос решен","2025-05-07T20:07:15.169959Z","","","","",""
